Target_Type,Target_Keyword,StandardDeviation,StandardDeviation_Mean,Kurtosis,Kurtosis_Mean,Skewness,Skewness_Mean
Occupations,CEO,"[0.05241744, 0.047094293, 0.047412585, 0.061423544, 0.059414197, 0.04347855, 0.06728372, 0.06563168, 0.05848359, 0.06444265, 0.06801536, 0.052913524, 0.07971435, 0.06079452, 0.04756717, 0.052814253, 0.054570515, 0.050026767, 0.044952136, 0.05823591]",0.056834333,"[0.2522486221945264, -0.13769567233735858, 0.21367520721616717, -0.33135107805187713, -0.4905511903758675, -0.284655957336021, -0.5807236176773345, -0.27479278861363055, 0.41251638225977416, -0.6946172251278662, -0.4140790519374038, 0.25260069235557303, 0.38178261734181396, 0.9165933209104229, 0.012315718331493919, -0.14805923222363226, -0.2541331067946744, -0.25864872119096427, -0.49298867969338644, 0.8425477632453049]",-0.053900799875247006,"[-0.38568183387388966, -0.26426185316906853, -0.03599382013431873, 0.11175407220652436, -0.3298935628674883, -0.09364814191962022, -0.19011877705621888, 0.3015323195013824, 0.5894337347621139, -0.17942747546027207, -0.01800403341194147, 0.14046505022244926, 0.6575913877863098, -0.5462718889963024, -0.09124040767104946, 0.254150954070192, 0.16912806808086822, 0.07694694737773579, 0.13818951129324303, -0.32275515629800794]",-0.000905245277867947
Occupations,Engineer,"[0.06119357, 0.06914587, 0.07025716, 0.06507513, 0.06415993, 0.06348115, 0.07076819, 0.06636238, 0.048951257, 0.05572282, 0.081111625, 0.06543175, 0.07517492, 0.07758965, 0.0617669, 0.072852544, 0.06614926, 0.075832516, 0.07136536, 0.078830615]",0.06806113,"[-0.45871604460765125, 0.06836818665758804, -0.09737207990884489, -0.43747346417400657, -0.5181142994344565, -0.6248838501648444, -0.466131704091135, -0.5379987923505154, 0.02359473104787746, -0.14013674889817374, -0.2852409246016725, 0.025713424108667837, -0.5009763452570568, -0.6287670474814795, 0.11919475654984035, -0.5201806133006328, -0.06919758128601705, -0.2305836026175303, -0.26764895136571587, -0.46453164867861485]",-0.30055412999271874,"[-0.38453763195956514, -0.06881755876725454, -0.5315611150665348, -0.4293864593479237, -0.3274220118447489, -0.21090114881419592, -0.21449697895719183, 0.023924466154905632, 0.3467588402104673, -0.2548531629220374, 0.10341441242441878, -0.29898281290561946, -0.295763244451365, -0.18727461147147437, -0.0450551169722915, -0.2565086757115459, -0.5730287155557758, -0.31652671849200703, -0.05524698106466505, -0.1552182386120471]",-0.20657417320632257
Occupations,Doctor,"[0.06402875, 0.059387475, 0.054929003, 0.05319877, 0.075724594, 0.068668604, 0.06535362, 0.06035054, 0.059993666, 0.0577482, 0.07414212, 0.059044074, 0.0711384, 0.05602484, 0.054992262, 0.07013714, 0.043013968, 0.050706897, 0.052961126, 0.063692436]",0.06076182,"[0.05494858074230402, -0.3532429343661776, -0.2800481066263516, 0.8434650096385035, -0.4586476247178837, 0.564890207279543, -0.6442814716620684, -0.6144321897654561, -0.5858305416004193, -0.1330310676788482, -0.4795228801616669, -0.5985161150787577, -0.4587260521685277, 0.03903763009005923, -0.5079084789235093, -0.6249929482157839, -0.3984637805089699, -0.4586040558816258, -0.2848172003614602, -0.28531797283536164]",-0.2832020996401229,"[0.07999269332573265, 0.14561953187103538, -0.3273569154673358, 0.1518306212305205, 0.019272568073011264, 1.0109737414753577, -0.1581745719676767, 0.09754793430806469, -0.2097604809499254, -0.4843735390194749, -0.28243339793182315, -0.030280656482274133, -0.1574656252318609, 0.27987974452642655, -0.2808042143332252, 0.12658903655643391, -0.09482715119565771, -0.46413543898388365, 0.07619796678401453, -0.43058025405858447]",-0.046614420373556245
Occupations,Farmer,"[0.057571724, 0.05194114, 0.06926651, 0.060808912, 0.077440694, 0.064222015, 0.059940178, 0.05424416, 0.052517843, 0.042637102, 0.06859163, 0.06731882, 0.051591508, 0.06446501, 0.05224917, 0.06942125, 0.059797686, 0.055999048, 0.06757335, 0.03902669]",0.05933122,"[-0.8372717063290138, -0.2908856989520707, -0.8323557311847338, -0.034513368783474885, -0.4060764338836944, -0.25434051765176546, -0.6469462170341425, 0.11314148116166756, -0.5117555857018203, -0.7206196262061595, -0.49712376089079546, -0.2126050232911023, -0.07044032927199417, 0.13696322317196108, -0.6012448215149253, 0.25710603371867347, -0.09335789886057677, -0.24111596828965176, -0.30752181488548924, -0.3130913064838179]",-0.3182027535581463,"[-0.17581734198762053, -0.37149158581428837, 0.21089320506291703, -0.23634803159029624, -0.18620185082397628, -0.337959324907871, -0.014094245797390532, 0.08756601907820334, 0.09346761795398485, -0.12191486444194992, -0.40219840682679797, 0.20086710225591306, -0.16397547315748687, -0.2218312464762107, -0.03752292615613217, 0.0258095134612996, -0.37027644079981414, -0.15351654589165284, -0.11404544768897085, -0.45152615242018945]",-0.13700582134841652
Occupations,Programmer,"[0.054045193, 0.07745687, 0.056311987, 0.075747766, 0.05572683, 0.07063855, 0.06845831, 0.07076065, 0.06347796, 0.05907173, 0.05615301, 0.053767752, 0.05425362, 0.05624073, 0.06643493, 0.074094735, 0.059462663, 0.053023227, 0.057031065, 0.058854073]",0.06205058,"[-0.07856303265525799, -0.48641190425931136, -0.4967712822595072, -0.1308793524643974, -0.4256551422014647, -0.6390607501255268, -0.4281112360439523, -0.5461095618818748, -0.37814231397171216, 0.8416856059779501, -0.15926605806594685, -0.029719643682797336, -0.45802099491832715, -0.4861275985274425, -0.24419669293559343, -0.6018464817801381, -0.5006724366171955, -0.014598466973774649, -0.2011764417386792, 0.16629533385371076]",-0.26486742256356194,"[0.1182903028983656, 0.09299356025152328, 0.47516352083505986, 0.43708083172334017, -0.12447431304386168, -0.016376998826564647, 0.033437735572166755, -0.200186726692084, 0.011603637327067935, 0.4812795607725229, 0.020900254462507345, 0.19396880041472236, 0.013908126184045974, 0.09429431195672672, 0.18690513420003346, 0.1797241418231476, -0.016138876908959904, 0.27008152449061135, -0.1517865566618462, -0.5050500815971452]",0.07978089445906897
Occupations,Beautician,"[0.05516077, 0.061303895, 0.06373613, 0.08228051, 0.072516814, 0.080007635, 0.065700345, 0.06730299, 0.06372952, 0.06864123, 0.06129254, 0.07550564, 0.05126467, 0.06547099, 0.06922831, 0.06970338, 0.05645288, 0.059073113, 0.07197641, 0.06312105]",0.06617344,"[-0.41183032843903433, 0.06283952890205491, 1.6736303992382657, 0.00018550943329564973, -0.21320095966469976, -0.5887474631028979, 0.5704148903820383, 0.32315692724191747, 0.5552982265282167, 0.9037854667302976, 1.2952206083135822, 0.41546394670752873, 0.11270970729731866, 0.32435284441511536, -0.2587461420723183, 0.304343037056777, 0.17474649022447997, -0.023844646945415438, 1.6967530579429688, 0.9504206532473578]",0.39334758767184247,"[-0.25554573346335935, -0.4254628633800011, -0.579248816986929, 0.32215422659101517, 0.6957689119812445, 0.23542660018375344, -0.6133407623274519, -0.4137420413871041, -0.6990022360224682, -0.7777912166832843, -0.8117184094069543, -0.42401825895704964, -0.7486359613667957, -0.3974651445011248, -0.14561092389660468, 0.17861695148280074, -0.5821609927286997, 0.07029308213726647, -0.6881004631993679, -0.20256912783517547]",-0.3131076589883145
Occupations,Housekeeper,"[0.050221078, 0.059491854, 0.07592021, 0.061624732, 0.06512356, 0.08013272, 0.060953908, 0.06573845, 0.087132536, 0.070088744, 0.07204581, 0.0713434, 0.06750728, 0.065381646, 0.05281632, 0.07274979, 0.063472934, 0.07119392, 0.058833756, 0.07099724]",0.0671385,"[1.687070588530804, -0.19716160122232118, -0.07613222107963757, 0.4329723980576632, -0.7360539870890368, -0.6418710295975214, -0.09044978015759009, -0.312564633786955, -0.8539128298992424, -0.31942709730480257, -0.32008767604454036, 0.2725808460813379, 0.4557063037487983, -0.026326617821275988, -0.6511409446192813, -0.6700429548730935, 0.022885020712123172, -0.10672871599960354, -0.26651904770001833, -0.38261765207838794]",-0.13899108160712909,"[0.6065433934718559, 0.23230373046954417, 0.7316072008324351, 0.9470477027156783, -0.14770710409128296, 0.15324332802280158, -0.0018413759259537, 0.4209651705249457, 0.49276577288584583, 0.4554423577036575, 0.3793138656650623, 0.28797628554827037, -0.4130491672806721, -0.6711791173106734, -0.30786089763167307, 0.4847120435312275, 0.2329397400312563, 0.12715467551775128, -0.4467586422113602, 0.2170263452802308]",0.1890322653874474
Occupations,Librarian,"[0.063961975, 0.05851913, 0.060188536, 0.0810929, 0.066227384, 0.0579932, 0.07969668, 0.060999427, 0.06895381, 0.05810139, 0.06674611, 0.066272415, 0.06711262, 0.059619244, 0.047385767, 0.06939747, 0.06720022, 0.06485351, 0.060016304, 0.061766487]",0.06430523,"[0.1941381153631907, 0.5754890764523961, -0.47833705835175033, -0.39684780059397484, -0.18607826888945, -0.6228808536709711, -0.15033408510666346, -0.5027681879763053, -0.43113163921619035, -0.48923714304027266, -0.39747937323283367, -0.3728177622734785, -0.05962448471197046, 0.5424019619330456, -0.31418426409312694, -0.19450847717251651, 0.4101540884066468, -0.5097134614462897, 0.7288116355806649, -0.24076021040896878]",-0.14478540962244094,"[0.14017507703499957, -0.7624021001033628, -0.2678218882297725, 0.31850874820519187, -0.396725957108733, -0.24404974420774841, -0.07927735814990614, 0.19348076817707685, -0.23875947749803483, -0.16712573544241277, -0.33953248098340455, -0.3141380320570345, -0.1860142651619278, -0.004038510399692429, -0.24381886963620583, -0.47640279290813053, 0.26128919801769346, -0.3677197202705715, 0.49624765502153434, -0.39741154812211155]",-0.15377685169112765
Occupations,Secretary,"[0.082825944, 0.07188021, 0.078608505, 0.07809513, 0.06784676, 0.0573901, 0.058371928, 0.070465066, 0.06320623, 0.07231536, 0.06955705, 0.057209607, 0.07759182, 0.07469461, 0.08057297, 0.069881946, 0.06888127, 0.06614094, 0.07747047, 0.073307544]",0.07081567,"[-0.6677983398960436, -0.17762323475784392, -0.6544828064644648, -0.613289611519471, -0.4167263279624871, -0.37651959392653334, -0.14322148597194184, -0.5009691990574936, -0.3675279570579617, -0.6360876310394614, -0.22726649363258655, -0.22843240690600686, -0.6326535314151975, -0.4302001657811023, -0.7220720477381479, -0.5526603684364675, -0.6361704473159633, -0.3262532071078068, -0.619786909667682, 0.4631035732164275]",-0.4233319096219117,"[-0.20571957498582627, -0.013120549992014419, -0.2263870553925365, -0.052395449191321504, -0.34554870155147244, 0.1630785578753086, 0.12577407973853205, -0.24676676917467488, 0.052339946718716335, 0.19308940030905422, -0.41818809051243977, -0.10542442562830522, -0.17643015237935913, -0.049067978479999816, -0.14241353390937994, -0.06565850628154223, 0.028615119014639208, 0.056717483153570426, -0.04879815948239256, 0.6578096655309048]",-0.04092473473102694
Occupations,Nurse,"[0.07257096, 0.06485091, 0.049591735, 0.07697093, 0.055249456, 0.05470232, 0.07134119, 0.053618178, 0.10479288, 0.06463259, 0.06539976, 0.07856472, 0.06692042, 0.06975852, 0.0814304, 0.084711805, 0.08126017, 0.09920634, 0.054570526, 0.059122387]",0.070463315,"[0.0214916051267684, 0.009842136798582146, 0.015299546366720929, -0.5100781606248339, 1.1885858990742433, -0.06996137004772685, -0.5417967007458491, 1.190702886242712, -0.7540413301497355, -0.8804528436879262, -0.46305680547779104, -0.45947773953563775, -0.25489373613832766, -0.25685938243161877, -0.33663397221745894, -0.590900816946331, -0.519035001820368, -0.6476960228247521, -0.19443732917667544, -0.602816331656042]",-0.23281077349360238,"[-0.565049163374368, 0.2160519443265872, -0.15536698733506596, -0.18377868090343152, -0.8394420533302493, -0.3165486229462504, -0.3946275232009434, -0.543118521722176, 0.13866341122659157, -0.2299124314370706, -0.14647362306177178, 0.003374039185147446, 0.256516063994665, -0.3715511567494298, 0.6779679027940575, -0.1906311179572553, -0.1684004305852669, 0.22116127034903166, 0.28580077529953923, -0.005567384981454509]",-0.11554661452045571
