Target_Type,Target_Keyword,StandardDeviation,StandardDeviation_Mean,Kurtosis,Kurtosis_Mean,Skewness,Skewness_Mean
Occupations,CEO,"[0.051812384, 0.05192635, 0.059806235, 0.067045555, 0.06379703, 0.04856339, 0.07018725, 0.06575496, 0.090486474, 0.05994932, 0.06803644, 0.08167294, 0.057699855, 0.058573138, 0.053031836, 0.07242171, 0.06004744, 0.06982732, 0.059288252, 0.08001683]",0.06449723,"[-0.33048408267646057, -0.09740453395342774, 1.2333059002329545, 0.26343310579254986, -0.408987904880024, 0.26172580448979144, -0.43820081646547404, -0.4173030809493832, 1.3879753696681068, -0.47259758126290885, -0.5214674780923834, 0.05056270955035025, -0.28812354967104126, 0.1858509340714276, -0.6604968438649155, -0.18874013842451198, -0.6313516776790418, 0.536314461323272, 0.09334048015405783, -0.9736736382341511]",-0.07081612804356066,"[-0.0030633457115192093, -0.08359924775830126, 0.3342598590291556, 0.5031867310878642, -0.28406153668055906, 0.2541107333663389, -0.07453745295302658, -0.4435481693779245, 1.0994214989018893, -0.08409265125018552, 0.31471046985094253, 0.5361052677408874, -0.33246954212261504, -0.14661307814601887, 0.042909072316639776, -0.06280182366812677, -0.07234316675466618, 0.6977665246575411, 0.4318134094387343, 0.1835979759895683]",0.14053757639783093
Occupations,Engineer,"[0.07024767, 0.0653704, 0.06519551, 0.07190076, 0.06791926, 0.06819377, 0.06488221, 0.06579977, 0.049107496, 0.06002906, 0.0768128, 0.06946485, 0.07767908, 0.077095486, 0.07351334, 0.076783255, 0.07046921, 0.07725892, 0.077978805, 0.078551486]",0.07021266,"[-0.7746001590376146, -0.6932873870551424, -1.0637898510778074, -0.5995436333410908, -0.9508136674203422, -0.3023537538584322, -0.12507605738602035, -0.7779539122881585, -0.6731531222798837, -0.4819381808393759, -0.1807601499632181, -0.5187702076211989, -0.48279455984367114, -0.7673836858119958, -0.4129914027549, -0.38474783985114636, -0.9422374294564193, -0.3502344335945806, -0.4195621465200743, -0.5961075291713431]",-0.5749049554586209,"[-0.23155260247845397, 0.05713730967905456, 0.10937251276586406, -0.09536692160365283, 0.28833566202352356, -0.17712090344135029, -0.2894607960383037, 0.23639387019775457, -0.03832238736097976, 0.17956666884088063, 0.2208736065252723, 0.009790745657745764, 0.1799066654803535, 0.33681474607992995, 0.31110369645186053, -0.1818523066522925, 0.30656951070049665, 0.3492263774570566, 0.1266956435201443, 0.3056062903744304]",0.10018586940896672
Occupations,Doctor,"[0.05620742, 0.05418304, 0.065862454, 0.058282424, 0.07308709, 0.06562659, 0.071514055, 0.060034458, 0.05960894, 0.06134281, 0.08296604, 0.06386189, 0.070732936, 0.063142285, 0.051039245, 0.06705778, 0.059369445, 0.052815083, 0.06569628, 0.060956564]",0.063169345,"[-0.62835236195661, -1.185216576408372, 0.3051742451872266, 0.20138637602279763, -0.6029216159867228, 1.1619041691495093, -0.10935061111404698, 0.10783509752662601, -0.14672151885128093, -0.7658967385429682, -0.5885844845033779, -0.7076994407204169, -0.7646784379370919, -0.19181783137449182, -0.444106934904843, -0.4954400371694314, 0.33398130419148986, -0.35270873803970604, 0.49634923548655774, -0.2758684079285647]",-0.2326366653936859,"[0.21315244590551394, 0.02857199025585101, -0.39536785258841795, 0.3963103625684795, 0.06665281509132913, 1.0876964353611331, -0.20268013485745412, -0.19471937377501447, -0.04003282396751799, -0.06300620250785988, 0.22102843808939057, -0.11505997648661462, 0.12465271427260714, -0.19273090145839072, -0.22009094865507606, -0.08577281131457874, 0.26338234234792773, -0.04091085458605071, 0.5040381108398364, -0.25682991769654984]",0.05491419284192719
Occupations,Farmer,"[0.057671208, 0.06054645, 0.07063149, 0.063337065, 0.10219592, 0.063927114, 0.06946148, 0.06373931, 0.049427625, 0.06495823, 0.07387011, 0.065054305, 0.05576705, 0.07525649, 0.06613915, 0.06929873, 0.07246849, 0.0595594, 0.07840228, 0.047442455]",0.06645771,"[0.1585078346147335, 0.14236286761830863, -0.6451125569446594, -0.5255102624572285, -0.5604131278423634, -0.3975932589460087, -0.30755640527991623, -0.45742719456438996, -0.31432843678725453, 0.16634968086442647, 0.12182672093792668, -0.9828209623402442, -0.18357712746286214, -0.5041463485055857, -0.5045056158907517, -0.5664869521170313, -0.20295109199749994, 0.16808479066247006, -0.4698102318107429, -0.7209235926484285]",-0.3293015635448551,"[0.4278802370423656, -0.5905417630954253, 0.21364148931878146, 0.2817743753761434, 0.18189851925776773, 0.0035834282639961973, 0.39391110414965874, -0.44485781825001103, -0.008618106839678953, 0.1500950721805319, -0.40362749430821265, 0.046072334035112204, 0.09604002633233903, -0.11827747410373854, -0.2965673029896909, -0.040221472496533336, 0.2830449702156236, 0.42384610431254593, 0.07132179056239667, -0.09228518044142839]",0.028905641926127164
Occupations,Programmer,"[0.07289081, 0.080924265, 0.07202548, 0.071282364, 0.071525775, 0.07783276, 0.07258427, 0.07785729, 0.06939079, 0.076658025, 0.07094859, 0.07455034, 0.06700428, 0.061417613, 0.0709073, 0.07552107, 0.06956495, 0.06220968, 0.066546924, 0.064896606]",0.071326956,"[-0.4209095868074342, -0.4563664663483018, 0.07362864885996068, -0.6126683819529211, -0.4640414232865768, -0.6309443434327955, -0.872533649382127, -0.5112149628434426, -0.789556207238634, 0.01641445235028316, -0.6788239630878175, 0.07688837000708704, 0.049583630493079234, -0.49017949722539766, -0.4725996086598596, -0.488656645701834, -0.1390732395382055, -0.2287043460298417, -0.3583023361202997, -0.22414555718042894]",-0.3811102556562754,"[0.2966899997497332, 0.18578517597053415, 0.5641440013980177, 0.2538257672737429, 0.4218697358249273, -0.11929831890643978, 0.08321121348991298, 0.03498487799490318, 0.140239605406736, 0.3949911310031103, 0.19920410976007227, 0.6030564427325131, 0.04528276057939558, 0.12197785551578728, -0.13378488930085844, -0.026163983208574333, -0.11014288569515536, 0.08472940456112041, 0.1097378108362114, 0.081274782705574]",0.16158072988456323
Occupations,Beautician,"[0.05662141, 0.06796732, 0.0581835, 0.070131026, 0.06888868, 0.08108886, 0.060328864, 0.07762016, 0.07055892, 0.06341178, 0.05667556, 0.07327089, 0.05956565, 0.07057514, 0.07287754, 0.060014557, 0.06525329, 0.07180477, 0.06388124, 0.059305947]",0.06640126,"[-0.5103293919575602, -0.5666476998951966, -0.3830185848208112, -0.40307580091269246, -0.2985825378342679, -0.6209107097548046, -0.6216634571492046, -0.38039755218758264, -0.07666558140336655, -0.5687376522934007, -0.6404057678935566, -0.683967970256254, 0.18315138928342822, -0.4716495757260901, -0.3602498193919539, -0.5853730092169824, -0.7367957274722117, -0.8971729054679938, -0.6575850977696787, -0.3148377396198154]",-0.47974575958699966,"[-0.22711769749488273, 0.0742015247220175, 0.04460939536791234, 0.0007791079747119076, 0.11310040426552227, 0.18735314716247684, -0.08146421266154645, 0.1717688892788601, 0.06078924904186185, 0.1844304159707927, 0.02576705428767922, 0.30327823262793163, -0.49441436618558326, -0.005182132544616786, 0.11957492218807786, -0.12159246803163762, 0.21100235187676422, -0.12808356049521305, -0.00028099756471400717, -0.1456847720341165]",0.014641724387614899
Occupations,Housekeeper,"[0.053227674, 0.06680502, 0.06735694, 0.061447505, 0.07024274, 0.07776525, 0.07352688, 0.06833748, 0.06731914, 0.0730724, 0.06733339, 0.06901331, 0.06249767, 0.061268892, 0.058266863, 0.07367335, 0.080744766, 0.07928626, 0.06539368, 0.07772116]",0.06871501,"[-0.17644277780646522, -0.1764094611169198, 0.284965989329792, 0.24174720764163782, -0.1156008616313251, -0.48761007842118875, -0.21120509999425385, 0.006337855323458541, 0.871704048589796, -0.24460748869158655, 0.195299676172636, -0.012498232092060135, -0.8977275201433743, -0.5713760684368179, -0.6621160028899942, 0.33386369018591777, 0.061967087204458426, 0.018320887684229348, -0.7184958173644667, -0.3452477154340272]",-0.1302565340945277,"[0.2574278396998555, 0.22964924647133683, 0.2982102215312682, 0.28043509172292713, 0.5033072843862673, 0.3105058705555339, 0.3508047673522431, 0.679593904193244, 0.9339891621713009, 0.3857525300841804, 0.47153300823792577, 0.28837913914408014, 0.07565472125769346, 0.20868454013355445, 0.05095476149470018, 0.6462957221871614, 0.4556432839549085, 0.5183355966600304, -0.09718382733048134, 0.43553613022519055]",0.364175449706646
Occupations,Librarian,"[0.05718249, 0.06834688, 0.06314486, 0.06458753, 0.0668935, 0.06592243, 0.06537942, 0.059398815, 0.06377974, 0.058264483, 0.07494629, 0.058982782, 0.0734285, 0.06746364, 0.064261064, 0.072482064, 0.06670246, 0.061053023, 0.07185071, 0.070019566]",0.06570452,"[-0.5130653668798959, -0.5703334610799948, -0.5397112450042152, 0.14418353454882693, -0.05902224849258353, -0.5306525032114862, 0.13116590030150554, -0.7972661307431155, 0.3250644327501995, -0.024417336057722228, -0.5576536396692737, -0.3813029453307353, -0.5641282757242023, 0.07564012697409561, 0.1884457646956137, 0.020665195263852354, -0.09880680920050189, 0.4463169273652876, 0.09485386307981081, -0.3669661966378368]",-0.17884952065261855,"[0.017422067508366453, 0.1122425877479841, -0.43404566714317927, 0.29047975665444953, -0.08570516945649465, -0.02120719309098862, 0.33128391526488715, -0.36888718551497934, -0.3251761746130733, -0.5037984686152753, 0.20720678200085355, -0.5075226875153732, -0.08598333071103573, -0.4115220303557646, -0.26226339103687046, -0.5904038066536699, -0.40901874377255265, -0.11532871373266129, 0.6073769681225657, 0.20653091512096616]",-0.11741597848959232
Occupations,Secretary,"[0.07948088, 0.08465951, 0.078498565, 0.07385237, 0.07014357, 0.056043673, 0.059351396, 0.06465773, 0.06087067, 0.06954108, 0.07592282, 0.06211202, 0.07422247, 0.06940423, 0.07705377, 0.07446407, 0.06858335, 0.06704724, 0.07758592, 0.06568382]",0.07045896,"[-0.7772616096793632, -0.17243511321646166, -0.6882851040549043, -0.7101031383586105, -0.9895856043121611, -0.859393351102399, 0.06918729396260614, -0.46454755617160837, -0.6330650307613146, -0.5371783855414591, -0.7285235047021432, -0.7626861084224248, -0.6662811457881648, -0.7218418728944456, -0.7395003681217442, -0.5525584363394733, -0.6580300563337205, -0.4641024514144729, -0.7073887615947081, -0.7731612951452607]",-0.6268370799996117,"[0.28853914209822373, 0.3876548028695727, 0.10625937532861839, 0.361894777350755, 0.05760541817422856, 0.08890803337723201, 0.07204041021118043, 0.3397775517322993, 0.05341918626366541, 0.35695762705824874, 0.1500355517096414, -0.13360452278251417, 0.3280745206385708, 0.16006921775823482, 0.3836267646907844, 0.24215685703321374, 0.05793136154796124, -0.11525205502635065, 0.21096222935002576, 0.03711086630922855]",0.17170835578464103
Occupations,Nurse,"[0.07908912, 0.074456945, 0.059035107, 0.0820319, 0.067017935, 0.06603989, 0.067382425, 0.07508875, 0.0978686, 0.07552062, 0.073725924, 0.09280637, 0.070192225, 0.07552678, 0.07413078, 0.08462009, 0.079843126, 0.09271111, 0.054233957, 0.06284904]",0.07520853,"[-0.6907092115788367, -0.237025362238938, -0.08678243586400036, -0.5237030394354218, -0.4633920757061425, -0.3588440383842788, -0.6927705354909035, -0.10169423865048577, -0.4498662077982156, -0.9765870104804044, -0.49681686491856736, -0.5270742500836718, -0.07622244844398862, -0.5092006545259995, 0.07335327649180767, -0.5074242096266257, -0.4512418016870523, -0.518473282722816, 0.17643710229717868, -0.6655525375968594]",-0.4041794913222111,"[0.18856887727792826, 0.5196092800038175, 0.3786818683505041, 0.25409310251769435, 0.2493025620342904, 0.3415694581428907, 0.12414294208128758, 0.5241275604281559, 0.32524818268642675, -0.08469395980731906, 0.12848528479822474, 0.37637832570108515, 0.40133945482625805, 0.17955059844462287, 0.436174793440865, 0.20776415693495018, 0.23379736783510865, 0.27909116849177157, -0.02900975043888273, -0.19054360662094685]",0.24218388335643665
