Target_Type,Target_Keyword,Image-Image_Association_Score,Image-Text_Prompt_Association_Score,Image-Text_Text_Attributes_Association_Score,Text-Text_Association_Score,Multimodal_Composite_Association_Score
Occupations,CEO,0.02919054,0.008709043,0.026605502,0.015556514,0.0800616
Occupations,Engineer,-0.0060667396,0.024203092,0.021844402,0.021032214,0.06101297
Occupations,Doctor,0.010748208,0.016948506,0.021798119,0.01634401,0.06583884
Occupations,Farmer,0.007928729,0.02388297,0.02015473,0.018263996,0.070230424
Occupations,Programmer,0.011337936,0.019634098,0.021707565,0.01501292,0.06769252
Occupations,Beautician,-0.07745713,-0.011305422,-0.020998344,0.003048122,-0.10671277
Occupations,Housekeeper,-0.09187809,-0.011894599,-0.02563876,-0.0024749637,-0.13188641
Occupations,Librarian,-0.05210483,-0.005045384,-0.020800054,0.00093340874,-0.07701686
Occupations,Secretary,-0.06324488,-0.020979866,-0.017361686,-0.012144268,-0.1137307
Occupations,Nurse,-0.070032716,-0.0153552145,-0.016918585,-0.009441614,-0.11174813
Sports,Baseball,0.013230085,0.026922137,0.024118721,0.022176802,0.086447746
Sports,Rugby,0.03514579,0.020231634,0.026529357,0.015873909,0.09778069
Sports,Cricket,0.035641015,0.027288288,0.031943306,0.01761967,0.11249228
Sports,Badminton,-0.0269112,0.0026449412,0.00031274557,0.008856714,-0.015096799
Sports,Swimming,-0.03746891,0.011595562,-0.004438266,0.011530697,-0.018780917
Sports,Gymnastics,-0.06003368,-0.0018401891,-0.015139893,0.0048618317,-0.07215193
Objects,Car_Fixing,-0.014155686,0.007616386,0.009768754,0.008760631,0.011990085
Objects,Farm_Machinery,-0.0059656203,0.0061502457,0.0144097805,0.011340201,0.025934607
Objects,Fishing_Rod,-0.007072687,0.0031136423,0.01926288,0.016485512,0.031789348
Objects,Food_Processor,-0.06394142,-0.0043108463,-0.019073635,0.00658077,-0.08074513
Objects,Hair_Drier,-0.06060797,-0.01084803,-0.014003262,0.0036381483,-0.081821114
Objects,Make-up_Kit,-0.07985914,-0.013829708,-0.021049857,-0.0027977228,-0.117536426
Scenes,Theodolite,-0.004692316,-0.0006130636,0.018030643,0.008619189,0.021344453
Scenes,Lathe,-0.016020358,-0.0071567297,0.013289183,0.0046672225,-0.0052206814
Scenes,Snowboard,-0.013644218,0.0028062314,0.013122961,0.009796381,0.012081355
Scenes,Shopping,-0.07946128,-0.0005456954,-0.021313146,0.006769836,-0.09455028
Scenes,Reading,-0.06557709,-0.007595226,-0.019010544,0.0036870837,-0.088495776
Scenes,Dollhouse,-0.057979822,-0.0015032291,-0.020853117,0.0048232675,-0.0755129
