Target_Type,Target_Keyword,StandardDeviation,StandardDeviation_Mean,Kurtosis,Kurtosis_Mean,Skewness,Skewness_Mean
Occupations,CEO,"[0.11744574, 0.07455493, 0.07041447, 0.05323896, 0.06488027, 0.06748737, 0.060183015, 0.0672039, 0.064758524, 0.09219207, 0.0651641, 0.05667083, 0.06301345, 0.074111484, 0.093886115, 0.05862931, 0.08775059, 0.049789242, 0.049109574, 0.07659232, 0.03817873, 0.059724137, 0.04737135, 0.04639599, 0.08291934, 0.06615078, 0.087453775, 0.06483887, 0.046452522, 0.07811454]",0.067489214,"[-0.7849372448739165, -0.7035881374235622, -0.48976430562658013, -0.33488013141847706, -0.590469857207216, -0.6259349029021095, -0.7600935592030829, -0.152855770988106, -0.6946724285659083, -0.8680736106842679, -0.5863397660160912, 0.471112248528502, -0.5668894170128111, 0.6886593883440528, -1.1183071070868655, -0.7177968236475416, -0.38735401029236716, -0.4539086604716114, -0.4387969843641484, -0.4822584794204401, 0.07782683488852582, -0.644549807090796, -0.5185557742260207, -0.18213325970686345, -0.4330913320253491, -0.29756054929961007, 0.011683906996275528, -0.40203773547083754, -0.6581383282656019, -0.675212043919486]",-0.4439639216150771,"[-0.04119053716003307, -0.44771629392990336, -0.6185335999871457, -0.05070711715449365, -0.3337410146010853, -0.12368810773911655, -0.021381449865050067, -0.7035819221098532, -0.059579341983515666, -0.4266190641457209, -0.19717718445059945, -0.3851498269839437, -0.15119508347083016, 0.6132305803598249, -0.3690004464041677, -0.15446300709170666, -0.062358314235236995, -0.2792780711865564, -0.018902412098917576, 0.03738005122861936, -0.33530189471768257, 0.13909204711080284, -0.4141524831969387, -0.36818629347959764, 0.22268254317174924, -0.6150554105790503, 0.6411162632521984, -0.6693851727485429, -0.22675165086572582, -0.2852522678236783]",-0.19016154942952995
Occupations,Engineer,"[0.07009466, 0.0822, 0.05399603, 0.080668285, 0.066915825, 0.06866606, 0.07354538, 0.08733625, 0.07546131, 0.06880918, 0.05420089, 0.0737323, 0.0687308, 0.06582671, 0.04937735, 0.06152877, 0.0753617, 0.056729894, 0.069376856, 0.056795854, 0.0785579, 0.07086042, 0.052294414, 0.06114966, 0.06556239, 0.06722428, 0.07890521, 0.054511916, 0.06106302, 0.0729685]",0.067415066,"[-0.0538221233539411, -0.6086508083550068, -0.4081034917314268, -0.08069221340825061, 0.06684876207593682, -0.07238081441997624, -0.24431043133489405, -0.30086348084234693, -0.522686161157599, -0.2819340276441711, -0.3972716730465855, -0.2678219871811214, -0.47910853972173983, -0.13424487934439, -0.6561141983092158, -0.23103125462539031, -0.07736786648400962, 0.1695123999447623, -0.3283245889811597, -0.14790090868922912, -0.5444863988702546, -0.22093052057379436, 0.48324860619283294, -0.2664387063174738, -0.5163202390645383, -0.31978917688862785, -0.5045233373912663, -0.38239871640372236, -0.037903861748414425, -0.273532930374631]",-0.2546447856016548,"[0.06948036445231157, -0.3772019296456963, -0.4634411352567357, 0.19699920280987296, -0.512793904701863, 0.24721914650345214, -0.2959479916657903, 0.34593249104683055, -0.013630419343136873, 0.2838276467467328, -0.4590742044232489, 0.277664387446286, 0.15690520785863807, 0.08285436382861755, -0.3426027842489524, 0.14872554791885942, 0.13758138324982977, -0.39672688338017686, 0.3035520399380397, -0.06404506248390623, 0.23215564724874094, 0.41083679601783063, -0.3000364892440608, -0.05788781462143875, -0.34574706888009193, -0.0721774812006953, -0.5712130685001072, -0.3027129270625747, -0.09962204310069932, 0.017660217201119044]",-0.058782225516400444
Occupations,Doctor,"[0.07585422, 0.11937982, 0.08510925, 0.044963554, 0.07386783, 0.07784262, 0.058056373, 0.059558675, 0.051275413, 0.06832149, 0.09079263, 0.060385987, 0.06377538, 0.085358195, 0.05759948, 0.08317967, 0.06362533, 0.049542833, 0.06899919, 0.07414757, 0.08092497, 0.07613317, 0.08868188, 0.058385797, 0.08490338, 0.065872915, 0.094584174, 0.09529847, 0.08710523, 0.10075193]",0.074809246,"[-0.41700035677493963, -0.96292619581719, -0.9129534421360352, 0.17585762532168747, -0.3725027110854602, -0.7256230394318117, -0.4056843359530671, 0.07449828178408113, 0.11712772139749994, -0.31296003576556775, -0.890823914664149, -0.6180435297146092, -0.6665791188639494, -0.6688971014943177, -0.8729222906208958, -0.9218022323162627, -0.5134198200943776, -0.37902316540679637, -0.5060875291146725, -0.5677024689064862, 0.014412071775153912, -0.36073916504809844, -0.8348153992700711, -0.4554115791253217, -0.5298608579185893, -0.10856686573142715, -0.8294687703268129, 0.061530394561879476, -0.6814699721686543, -1.159031239052569]",-0.5076963013987277,"[0.13729708846044059, 0.1937993634889438, -0.461381438999287, -0.511218671537946, -0.1419894445684571, 0.1190203739190629, -0.028571069601416737, -0.3877924915077994, -0.49692379394754493, 0.03171884393979865, -0.12182935562571413, -0.10195827737747362, -0.3453149494734009, 0.15442226038914478, 0.04540257621379254, -0.18975201215293927, 0.046676891751867025, -0.15097264343490926, -0.2552899072932487, -0.008643082521102866, 0.01746283943480055, -0.04604254732415665, -0.14984118877599556, -0.058893360188535464, 0.12336070163650648, -0.3501080765186932, -0.2993479954305479, -0.7963289403013495, -0.41426508759886715, -0.49018458702387074]",-0.1645829327322966
Occupations,Farmer,"[0.06354965, 0.074577615, 0.08426174, 0.06880755, 0.07418085, 0.07538147, 0.10554819, 0.0886923, 0.10104319, 0.08406703, 0.074238434, 0.070636556, 0.09989903, 0.06563098, 0.07638223, 0.06806366, 0.07308518, 0.08633484, 0.08673908, 0.08926327, 0.077702425, 0.08172058, 0.080740735, 0.078040384, 0.074364364, 0.06725431, 0.087506115, 0.07031724, 0.06524449, 0.09600286]",0.07964254,"[0.40236592575777985, -0.4856786454958084, -0.3335003952643132, -0.28029238621445174, -0.3345668907516499, -0.802503170143428, 0.08774342847810734, -0.6014153753949301, -0.2901313879822536, -0.4434168662451792, -0.23344195808055046, -0.10210290803408784, -0.03271649635814544, -0.6756053052984914, -0.2713961869401893, -0.4628868578283636, -0.2385852439828433, -0.1020415445293894, -0.3630147696843231, -0.30561132235900246, -0.11603707959926357, -0.6060023607847231, -0.3164335248157837, 0.26553770946816657, -0.3966022077417648, -0.5815854399874882, -0.6138402366047608, 0.016958874715988337, -0.30845879107880503, -0.17097015866164877]",-0.2898743857147199,"[-0.35444328459554775, 0.12106163018622507, 0.004606836081886304, 0.39840159149854626, 0.2182061223432845, 0.10127170284017807, 0.4978333928408506, 0.10224603793996037, 0.3765038196907734, 0.2138401155161736, -0.056151516499885375, 0.32297007235578445, 0.4317235743386123, 0.18370064522751534, 0.2567778076546742, 0.2064386549267851, 0.5277377069060967, 0.3127698270288505, 0.3328921183545444, 0.33414401779782515, -0.22650804566697788, 0.16459558671041902, 0.14252394788185524, -0.19570411171024665, 0.13677706485871502, 0.1494820337100983, 0.17660765355589306, 0.07475958624807845, -0.07996000605946595, 0.4971599276896371]",0.17907548365503798
Occupations,Programmer,"[0.06661881, 0.07249713, 0.07415948, 0.085747525, 0.072717585, 0.05846662, 0.080176316, 0.04941918, 0.082572415, 0.079929575, 0.089722455, 0.0763476, 0.07073638, 0.06969454, 0.07040292, 0.081744075, 0.055726964, 0.088973016, 0.06376704, 0.07671817, 0.03669629, 0.0768394, 0.074988455, 0.045689974, 0.077248715, 0.048790857, 0.0856736, 0.06586128, 0.050843757]",0.069957584,"[0.2126830289863495, -0.01301397040797525, -0.16836545813942916, -0.7197626644843464, -0.1321603875469446, 0.29119738371072446, 0.08469327217633715, -0.05537940086840454, -0.31183157404633377, -0.11887340133537716, -0.4011943624474035, 0.09098865265510714, 0.11531133174271568, -0.2556230700777764, 0.26167288902241603, 0.05318605980529689, -0.07349537064646494, 0.2821931344472812, 0.30166660366174103, -0.10603565574660356, 0.015792153848878776, -0.22851661630145825, -0.0004243546245801255, 0.12411055488653844, -0.007922821072920971, -0.3598255793483025, -0.28836028608858877, 0.2003507033000118, 0.6595423134119076]",-0.018875754880262212,"[-0.24997976975158606, -0.1528979289134161, -0.25859595488598075, -0.018851216198554933, -0.2193464271155404, -0.40128557213483823, 0.32194952875167365, -0.2166518077279998, -0.11751380851630408, 0.039182862232577484, 0.09155023839173229, 0.20915039731376533, -0.33908695736713335, -0.17990107693863003, 0.3042525196083186, -0.22476335923371127, -0.06126781813029534, 0.4783856909313684, 0.07138179521385937, 0.051841022094887085, -0.37235612136863633, 0.0693962295404085, -0.07587803042214292, -0.26550141603850347, -0.12585950244305633, 0.07382751002789875, 0.015486576287154151, -0.4245227331555191, -0.2751249519338227]",-0.07768896834075958
Occupations,Beautician,"[0.07390443, 0.07499565, 0.07376769, 0.08279347, 0.073091984, 0.07826381, 0.10424205, 0.10478943, 0.09191839, 0.07008906, 0.084043466, 0.0877336, 0.10059142, 0.090847634, 0.07882287, 0.07144044, 0.07767587, 0.08635677, 0.08212679, 0.094961934, 0.081132196, 0.09035416, 0.101759784, 0.08799454, 0.095024355, 0.103475615, 0.09632525, 0.09464655, 0.11257603, 0.0863672]",0.087737076,"[-0.3782539251483259, -0.470829543209923, -0.5127726618227113, -0.574657189586417, 0.19436460584370563, -0.4438229151426505, -0.3135013591639808, 0.05590697273068157, 0.03238485888130915, -0.37456972752515716, -0.5865621928288993, 0.2574435057685802, -0.5747186704488323, 0.19895360929661576, -0.3879107026513684, -0.25971646359835754, -0.5418458603445453, -0.3836776075460735, -0.03299217652201536, 0.07833119477451822, -0.638639108721371, -0.13270859165410087, -0.024175211776054084, -0.4442958875657044, -0.4968588332819963, -0.610441578322928, 0.22745167393058763, 0.0678121931686424, -0.414433004770987, 0.9227335984521874]",-0.2187333666261857,"[-0.12561728083440787, -0.09449913507026571, 0.18475911813923987, -0.09327743731166072, 0.45635712377838583, 0.15963163142360226, 0.3051894619678416, 0.7158265435655419, 0.6227929469643932, -0.04235227958982416, -0.14211071022851388, 0.36085386124861757, 0.24757826305466565, 0.672581247677893, 0.13676532653240908, 0.03333812291376158, 0.14640934984361229, 0.28557850922365907, 0.3478006339782392, 0.6451370384345588, -0.02128020563471138, 0.5558913892715953, 0.6370266746855188, 0.2382685561514484, 0.2900486978785222, 0.42680006003391496, 0.5946558000280368, 0.37626186718121063, 0.5287790913370085, 0.9930368275590697]",0.3147410364734454
Occupations,Housekeeper,"[0.10570803, 0.11167073, 0.08467441, 0.09668029, 0.08070086, 0.06678273, 0.063917264, 0.07915399, 0.077886865, 0.08812515, 0.117765844, 0.07350367, 0.07894354, 0.06752172, 0.082266524, 0.08326188, 0.0673716, 0.09949168, 0.073642544, 0.07373942, 0.05264534, 0.073161714, 0.077160686, 0.08182601, 0.065494224, 0.05268966, 0.104202814, 0.08596615, 0.094023526, 0.119266815]",0.08264151,"[-0.9160380958886458, -0.9481708169422634, -0.6595644924625854, -0.8696038355698272, -0.5050681839973534, -0.8726055192203526, 0.29412624344378013, -0.45403776943506147, -0.32547400443076535, -0.37195196970681854, -1.0717637693541353, 0.004625657883467138, -0.40175979871830547, -0.7137466785140187, -0.961583813582513, -0.1738455247103956, 0.24916772921395935, -0.8631233744367148, -0.028804709967847675, -0.22329124942637923, 0.09315662114740464, -0.6453035541652961, -0.6634867782165417, -0.3054370090227376, 0.08025221430499174, 0.4924564887830192, -0.9321888991182936, -0.23787641383621683, -0.5425464697278088, -1.1236813271162693]",-0.45323897009301745,"[-0.28784318966620664, -0.401666574807363, -0.4887750260166643, -0.5462367336040702, 0.26978556214084753, -0.05812881018012466, -0.9997907889208759, -0.10056698975778852, -0.4555203806338607, -0.43499412304224555, -0.37519204927293354, 0.2769789790259475, -0.6003697182066393, 0.029687586261343914, -0.4290253355092763, -0.6951534314037254, -0.123309321068499, -0.387224862030733, -0.7418649150530282, -0.30895255999237725, 0.6622777753696782, 0.11870574459866416, -0.5039526335956085, 0.2355167553379348, -0.5203278638952967, -0.6344571556557564, -0.15751515337331787, 0.44689850151875243, 0.3356695225730041, -0.112798338779175]",-0.2329381842546464
Occupations,Librarian,"[0.12593928, 0.05496617, 0.058818623, 0.049121343, 0.044735547, 0.060394865, 0.044273738, 0.10393202, 0.10028924, 0.045903333, 0.04360967, 0.06655002, 0.06897527, 0.060016062, 0.060799897, 0.049055688, 0.059482723, 0.04547459, 0.05022316, 0.040844187, 0.051681332, 0.051536188, 0.05482453, 0.06295969, 0.055828605, 0.055380523, 0.11127357, 0.0545868, 0.04566255, 0.06757084]",0.061490335,"[-1.096838796131121, -0.19564487606454772, -0.23513178568969462, 0.5286250530714653, -0.11820282600706733, -0.4142888733814627, 0.8679488510240381, -0.8593547248889282, -0.9627365858130332, 1.1272835703619197, 0.8725912693973479, -0.04048802517777883, 0.0578799347921648, -0.3680195351753408, -0.12089871820548037, 1.216776622509311, 0.251984459178749, 1.2809706484977896, 0.3462584586960826, 0.01777028915652501, 0.17535630233663957, 0.003758865847977244, 0.26635334111353437, 0.12866409971785897, 0.14075264521078124, 0.34650060462354704, -0.8672105087000679, 0.49810366221958935, 0.5148290741393056, -0.592407464708713]",0.09237283439837969,"[-0.16712225306868794, -0.36996010497502063, -0.579791676078688, -0.6599144159754938, -0.4075055092450804, -0.5472174747843245, -0.5966218865396209, -0.1488547448815424, 0.004133159652942259, -0.23512685652101167, -0.940263990690791, -0.6044449076318522, -0.1765174557366742, 0.22078324826521753, -0.35400558491915035, -1.0347871603902452, -0.17667317615175737, -0.6556986068193631, -0.17340647634360315, -0.30825866522537243, -0.13524334273371572, -0.44369853632401485, -0.5801841852403506, -0.45084782537345236, -0.37605150732800874, -0.2763949085057787, -0.1506995561738774, -0.3217410204248163, -0.591530026706214, -0.38981429406828016]",-0.38758199136462107
Occupations,Secretary,"[0.08601799, 0.11833964, 0.106692664, 0.10427346, 0.11350116, 0.06002572, 0.08654974, 0.08551855, 0.109505646, 0.07728382, 0.1098439, 0.08128597, 0.0922949, 0.12493484, 0.09135035, 0.053151574, 0.115442164, 0.10212811, 0.07657203, 0.095826976, 0.063750796, 0.09023364, 0.079448536, 0.13878451, 0.056638982, 0.084482394, 0.119086005, 0.116014026, 0.08690239, 0.125321]",0.095040046,"[-0.824918785865739, -0.8310874389777472, -0.9233127888661103, -0.9214725696646613, -0.9036977275534235, 0.11378910033102763, 0.2532578896001154, -0.795378254899612, -0.8277628271022834, -0.8997252308524413, -0.8922392199842122, -0.6388772515739345, -0.7001323167195488, -0.9652783074864741, -0.8297146496179941, 0.1576719045910031, -0.3759099961634691, -0.9184459489988863, -0.42515170742591746, -0.1752912697473752, -0.5520126770195417, -0.784917223516401, -0.41330386333344515, -1.10182857913722, -0.5547652664099583, -0.6757991908272372, -0.6172822734917323, -0.7219505556143462, -0.8886474658836598, -0.8369353718430559]",-0.6490373288018093,"[-0.09332257598220185, 0.11487666073011975, -0.1464291017916995, -0.02167876914513173, 0.032794592395843675, 0.4250947578234836, 0.6928107880622978, 0.1575416826549681, -0.1750155617264648, -0.011657404714462168, 0.02313809193544206, 0.037550866015119366, 0.02688611734527232, 0.1871276022115482, -0.3120618358992275, -0.4050708121290225, 0.5920965607540682, 0.05303157163367895, -0.2515263451101189, 0.5953328763852024, -0.2516331486615042, -0.12106533351990414, -0.40949093957443866, -0.05684194003449227, -0.020318680084143545, -0.055092675022623216, 0.30762928873546985, 0.03993745117924879, -0.278141298500326, 0.28080383117728575]",0.03191021057144293
Occupations,Nurse,"[0.082266726, 0.07772491, 0.066212304, 0.08354784, 0.08914898, 0.077967755, 0.08473355, 0.08237089, 0.08010108, 0.07504306, 0.060518466, 0.08362839, 0.0807095, 0.09250341, 0.051297575, 0.078141205, 0.08369698, 0.08871038, 0.0746614, 0.082592435, 0.082430534, 0.08307254, 0.07897396, 0.0800869, 0.089311935, 0.07859444, 0.07938258, 0.065787286, 0.08585577, 0.06632707]",0.07884666,"[-0.3875444860032391, -0.6712695061998031, -0.5301010107747075, -0.31846887828205306, -0.6133408730627545, -0.2994747897525132, -0.052324849222375125, -0.5870251312140993, -0.2887457608102961, -0.42420341440465403, -0.6050268329792279, -0.39257919821905096, -0.12265004643467581, -0.6646411154899741, -0.5881110329911077, -0.6164440676038572, -0.3203385626689865, -0.6358945700529799, -0.2300736952947835, -0.35603984261265875, -0.5125945222507382, -0.33545766696939383, -0.17476303029613893, -0.30625746818578126, -0.5905690012275366, -0.6398740783993291, -0.5745196325574597, -0.37969848910220705, -0.6734045428949438, -0.3722932172382669]",-0.44212431043985306,"[0.1691012816124487, 0.11054889189983529, -0.01570234591245498, 0.2922470994602905, 0.1626528350800051, 0.20725210511048733, -0.03048033129316359, 0.09667473506849165, 0.19799314036081717, 0.10163262201254687, -0.20196571908090472, 0.2013325727739945, 0.25471091864008, 0.26541356302972385, -0.23206480068294055, -0.05482979501631654, 0.2682449498625364, 0.2742816977497216, 0.20321300907501674, 8.043686350504466e-05, 0.19031520927143689, 0.21232865233114598, 0.20448978678754232, 0.11633956328273445, 0.32463520110617594, 0.20405923370555593, 0.1392542333446911, -0.22874113625826978, 0.15772278634928727, -0.2968083508766103]",0.10979773485524698
