Target_Type,Target_Keyword,Image-Image_Association_Score,Image-Text_Prompt_Association_Score,Image-Text_Text_Attributes_Association_Score,Text-Text_Association_Score,Multimodal_Composite_Association_Score
Occupations,CEO,0.017870903,0.011602968,0.02890554,0.015556514,0.073935926
Occupations,Engineer,-0.019102395,0.025141269,0.019160733,0.021032214,0.04623182
Occupations,Doctor,0.0131880045,0.01409705,0.023973286,0.01634401,0.06760235
Occupations,Farmer,-0.014249384,0.018800616,0.019153103,0.018263996,0.04196833
Occupations,Programmer,-0.0331057,0.01623772,0.014759943,0.01501292,0.012904882
Occupations,Beautician,-0.11225477,-0.013434857,-0.024858445,0.003048122,-0.14749995
Occupations,Housekeeper,-0.06004581,-0.025926992,-0.015473247,-0.0024749637,-0.10392101
Occupations,Librarian,-0.032903492,-0.002058655,-0.0074121654,0.00093340874,-0.041440904
Occupations,Secretary,-0.01458025,-0.023748592,-0.015003696,-0.012144268,-0.065476805
Occupations,Nurse,-0.08246344,-0.028586075,-0.012506455,-0.009441614,-0.13299759
Sports,Baseball,0.008851647,0.02295956,0.026713714,0.022176802,0.08070172
Sports,Rugby,0.014626384,0.010406241,0.028768107,0.015873909,0.06967464
Sports,Cricket,-0.0018267035,0.014367834,0.02236338,0.01761967,0.05252418
Sports,Badminton,-0.040912956,-0.0032618493,0.004252732,0.008856714,-0.03106536
Sports,Swimming,-0.046859086,0.0042307973,0.007712826,0.011530697,-0.023384765
Sports,Gymnastics,-0.06726676,-0.006912753,-0.010812655,0.0048618317,-0.08013034
Objects,Car_Fixing,-0.044097364,0.0023367256,0.011932358,0.008760631,-0.02106765
Objects,Farm_Machinery,-0.030044556,0.0009799451,0.006523937,0.011340201,-0.011200473
Objects,Fishing_Rod,-0.026082516,0.0045029074,0.016820863,0.016485512,0.011726767
Objects,Food_Processor,-0.067319244,-0.008482426,-0.005613491,0.00658077,-0.07483439
Objects,Hair_Drier,-0.0941695,-0.020088926,-0.01629448,0.0036381483,-0.12691475
Objects,Make-up_Kit,-0.11517599,-0.018416047,-0.02294302,-0.0027977228,-0.15933278
Scenes,Theodolite,0.004082203,0.010970518,0.011562929,0.008619189,0.03523484
Scenes,Lathe,-0.004337013,-0.0051178783,0.008240432,0.0046672225,0.003452763
Scenes,Snowboard,-0.047017723,-0.001554057,0.00530833,0.009796381,-0.03346707
Scenes,Shopping,-0.0820353,-0.0034508258,-0.011365309,0.006769836,-0.0900816
Scenes,Reading,-0.09572747,-0.005932525,-0.016729876,0.0036870837,-0.11470279
Scenes,Dollhouse,-0.05890605,-0.0030033141,-0.0028978586,0.0048232675,-0.059983954
